"Passengerid","Age","Fare","Sex","sibsp","Parch","Pclass","Embarked","Survived","ZeroR","Age_Range","Fare_Range"
1,22,7.25,0,1,0,3,2,0,0,5,1
2,38,71.2833,1,1,0,1,0,1,0,8,2
3,26,7.925,1,0,0,3,2,1,0,6,1
4,35,53.1,1,1,0,1,2,1,0,7,2
6,28,8.4583,0,0,0,3,1,0,0,6,1
7,54,51.8625,0,0,0,1,2,0,0,11,2
8,2,21.075,0,3,1,3,2,0,0,1,1
9,27,11.1333,1,0,2,3,2,1,0,6,1
10,14,30.0708,1,1,0,2,0,1,0,3,1
11,4,16.7,1,1,1,3,2,1,0,1,1
12,58,26.55,1,0,0,1,2,1,0,12,1
13,20,8.05,0,0,0,3,2,0,0,4,1
15,14,7.8542,1,0,0,3,2,0,0,3,1
17,2,29.125,0,4,1,3,1,0,0,1,1
18,28,13,0,0,0,2,2,1,0,6,1
19,31,18,1,1,0,3,2,0,0,7,1
20,28,7.225,1,0,0,3,0,1,0,6,1
21,35,26,0,0,0,2,2,0,0,7,1
22,34,13,0,0,0,2,2,1,0,7,1
23,15,8.0292,1,0,0,3,1,1,0,3,1
24,28,35.5,0,0,0,1,2,1,0,6,1
25,8,21.075,1,3,1,3,2,0,0,2,1
27,28,7.225,0,0,0,3,0,0,0,6,1
30,28,7.8958,0,0,0,3,2,0,0,6,1
31,40,27.7208,0,0,0,1,0,0,0,8,1
32,28,146.5208,1,1,0,1,0,1,0,6,3
33,28,7.75,1,0,0,3,1,1,0,6,1
34,66,10.5,0,0,0,2,2,0,0,14,1
35,28,82.1708,0,1,0,1,0,0,0,6,2
37,28,7.2292,0,0,0,3,0,1,0,6,1
38,21,8.05,0,0,0,3,2,0,0,5,1
41,40,9.475,1,1,0,3,2,0,0,8,1
42,27,21,1,1,0,2,2,0,0,6,1
43,28,7.8958,0,0,0,3,0,0,0,6,1
44,3,41.5792,1,1,2,2,0,1,0,1,1
45,19,7.8792,1,0,0,3,1,1,0,4,1
46,28,8.05,0,0,0,3,2,0,0,6,1
47,28,15.5,0,1,0,3,1,0,0,6,1
48,28,7.75,1,0,0,3,1,1,0,6,1
49,28,21.6792,0,2,0,3,0,0,0,6,1
51,7,39.6875,0,4,1,3,2,0,0,2,1
52,21,7.8,0,0,0,3,2,0,0,5,1
54,29,26,1,1,0,2,2,1,0,6,1
55,65,61.9792,0,0,1,1,0,0,0,13,2
56,28,35.5,0,0,0,1,2,1,0,6,1
57,21,10.5,1,0,0,2,2,1,0,5,1
59,5,27.75,1,1,2,2,2,1,0,1,1
62,38,80,1,0,0,1,NA,1,0,8,2
63,45,83.475,0,1,0,1,2,0,0,9,2
64,4,27.9,0,3,2,3,2,0,0,1,1
65,28,27.7208,0,0,0,1,0,0,0,6,1
67,29,10.5,1,0,0,2,2,1,0,6,1
68,19,8.1583,0,0,0,3,2,0,0,4,1
69,17,7.925,1,4,2,3,2,1,0,4,1
70,26,8.6625,0,2,0,3,2,0,0,6,1
71,32,10.5,0,0,0,2,2,0,0,7,1
73,21,73.5,0,0,0,2,2,0,0,5,2
75,32,56.4958,0,0,0,3,2,1,0,7,2
76,25,7.65,0,0,0,3,2,0,0,5,1
77,28,7.8958,0,0,0,3,2,0,0,6,1
78,28,8.05,0,0,0,3,2,0,0,6,1
79,0.83,29,0,0,2,2,2,1,0,1,1
80,30,12.475,1,0,0,3,2,1,0,6,1
82,29,9.5,0,0,0,3,2,1,0,6,1
83,28,7.7875,1,0,0,3,1,1,0,6,1
84,28,47.1,0,0,0,1,2,0,0,6,1
85,17,10.5,1,0,0,2,2,1,0,4,1
87,16,34.375,0,1,3,3,2,0,0,4,1
88,28,8.05,0,0,0,3,2,0,0,6,1
89,23,263,1,3,2,1,2,1,0,5,6
91,29,8.05,0,0,0,3,2,0,0,6,1
93,46,61.175,0,1,0,1,2,0,0,10,2
94,26,20.575,0,1,2,3,2,0,0,6,1
95,59,7.25,0,0,0,3,2,0,0,12,1
96,28,8.05,0,0,0,3,2,0,0,6,1
97,71,34.6542,0,0,0,1,0,0,0,15,1
98,23,63.3583,0,0,1,1,0,1,0,5,2
99,34,23,1,0,1,2,2,1,0,7,1
101,28,7.8958,1,0,0,3,2,0,0,6,1
102,28,7.8958,0,0,0,3,2,0,0,6,1
103,21,77.2875,0,0,1,1,2,0,0,5,2
104,33,8.6542,0,0,0,3,2,0,0,7,1
105,37,7.925,0,2,0,3,2,0,0,8,1
106,28,7.8958,0,0,0,3,2,0,0,6,1
107,21,7.65,1,0,0,3,2,1,0,5,1
108,28,7.775,0,0,0,3,2,1,0,6,1
109,38,7.8958,0,0,0,3,2,0,0,8,1
110,28,24.15,1,1,0,3,1,1,0,6,1
112,14.5,14.4542,1,1,0,3,0,0,0,3,1
114,20,9.825,1,1,0,3,2,0,0,4,1
115,17,14.4583,1,0,0,3,0,0,0,4,1
118,29,21,0,1,0,2,2,0,0,6,1
119,24,247.5208,0,0,1,1,0,0,0,5,5
125,54,77.2875,0,0,1,1,2,0,0,11,2
126,12,11.2417,0,1,0,3,0,1,0,3,1
127,28,7.75,0,0,0,3,1,0,0,6,1
128,24,7.1417,0,0,0,3,2,1,0,5,1
129,28,22.3583,1,1,1,3,0,1,0,6,1
130,45,6.975,0,0,0,3,2,0,0,9,1
132,20,7.05,0,0,0,3,2,0,0,4,1
133,47,14.5,1,1,0,3,2,0,0,10,1
134,29,26,1,1,0,2,2,1,0,6,1
136,23,15.0458,0,0,0,2,0,0,0,5,1
138,37,53.1,0,1,0,1,2,0,0,8,2
139,16,9.2167,0,0,0,3,2,0,0,4,1
141,28,15.2458,1,0,2,3,0,0,0,6,1
